antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
meal=SC,"distribution_channel=TA/TO, hotel=City Hotel",0.08849164073182395,0.5773976797053914,0.08413794260500465,0.9508010237937244,1.6467004583025977,1.0,0.033043074573126406,8.589656795352253,0.43085179488224074,0.14462869502523432,0.8835809132046945,0.5482601245713838
meal=SC,"deposit_type=No Deposit, reserved_room_type=A",0.08849164073182395,0.599552047244755,0.08698168762425655,0.982936771257939,1.6394519471245754,1.0,0.03392634325944416,23.46847474230579,0.427906187504745,0.14471333668285602,0.9573896467077455,0.5640072819799881
meal=SC,"hotel=City Hotel, is_canceled=0",0.08849164073182395,0.3865815500507512,0.054769354662819084,0.6189212247606408,1.6010107690845248,1.0,0.020560119022176394,1.6096893603270213,0.4118388806716228,0.13030895736867315,0.37876212352124766,0.38029864727312485
meal=SC,"hotel=City Hotel, is_family_trip=0",0.08849164073182395,0.6187452289676115,0.08629382009747587,0.9751635226087781,1.5760340071403176,1.0,0.03154003959114384,15.350597632139984,0.40097923535270297,0.13897219745481074,0.9348559564934286,0.557314678874888
meal=SC,"distribution_channel=TA/TO, reserved_room_type=A",0.08849164073182395,0.6004915736227969,0.08345846370659933,0.943122570859797,1.5705841885005802,1.0,0.030319979111083174,7.024023983088509,0.39856380461391183,0.137828327607226,0.8576314656089352,0.5410530713038368
meal=SC,"hotel=City Hotel, is_repeated_guest=0",0.08849164073182395,0.647484669781644,0.08717462607689017,0.9851170727083135,1.521452350432531,1.0,0.029877645299209263,23.6858867418689,0.37600672982247024,0.1343625150304488,0.9577807657826748,0.5598764437466891
"is_canceled=1, meal=SC",hotel=City Hotel,0.03310152756922716,0.6640689880797591,0.03309313894085178,0.9997465788139888,1.5054860214220884,1.0,0.011111441024060854,1325.5837730368137,0.34725743155508115,0.04983325754130665,0.9992456153882232,0.5247902329285891
"market_segment=Online TA, meal=SC",hotel=City Hotel,0.08237633064617604,0.6640689880797591,0.08227566710567155,0.9987780040733197,1.504027476063014,1.0,0.02757210057174178,274.9035447547261,0.3652025777708144,0.12387748658035996,0.9963623604748633,0.5613371343712101
"meal=SC, stay_bucket=2-3",hotel=City Hotel,0.040735179390817805,0.6640689880797591,0.04065968173543944,0.9981466227347613,1.5030766993366618,1.0,0.013608712378131604,181.2534437649822,0.3489109045250559,0.06122113878643965,0.9944828634467402,0.5296873608601993
"customer_type=Transient, meal=SC",hotel=City Hotel,0.08298031188920299,0.6640689880797591,0.08271187578119102,0.9967650626769107,1.5009962527525718,1.0,0.027607224034385182,103.84467405984572,0.363978901191783,0.12450280952080307,0.9903702331481757,0.560659099937422
"distribution_channel=TA/TO, meal=SC",hotel=City Hotel,0.08446509911164425,0.6640689880797591,0.08413794260500465,0.9961267255934055,1.500035001594991,1.0,0.028047289709878492,86.73049638525478,0.3641028746269894,0.12663821620666144,0.9884700302468231,0.561413665337031
"meal=SC, reserved_room_type=A",hotel=City Hotel,0.0870655739080103,0.6640689880797591,0.08666291974599233,0.9953752770016379,1.4989034194773851,1.0,0.028845372184316452,72.63808276500275,0.36458873512234335,0.13042380477458937,0.9862331168178656,0.5629390817255577
"is_repeated_guest=0, meal=SC",hotel=City Hotel,0.08776183006316637,0.6640689880797591,0.08717462607689017,0.9933091187153508,1.4957920585745643,1.0,0.028894716394815487,50.20728923870782,0.36334576523725315,0.13115747226534397,0.9800825733640876,0.5622912835849028
