antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"deposit_type=No Deposit, market_segment=Offline TA/TO",is_canceled=0,0.1608267832126769,0.6292310144368294,0.13316947545906768,0.8280304610890882,1.3159403177705522,1.0,0.03197227550954296,2.15601546594392,0.2860995951183102,0.20272772549069687,0.5361814347828936,0.5198344546479969
"customer_type=Transient-Party, market_segment=Groups",stay_bucket=2-3,0.08905367883297402,0.45882441761947507,0.05371238748752191,0.6031461944235117,1.3145468533536713,1.0,0.012852385160110835,1.3636648427608955,0.2626736378106606,0.10869306897078544,0.26668198178711894,0.36010571385648305
"lead_time_bucket=31-90, market_segment=Groups",reserved_room_type=A,0.03310152756922716,0.7203482958501456,0.03132313835364779,0.946274708565636,1.3136349652203383,1.0,0.007478509379118398,5.2052152102609615,0.24692718179951834,0.043376237163700565,0.8078849846537152,0.4948790162913889
reserved_room_type=D,"customer_type=Transient, deposit_type=No Deposit",0.16088550361130452,0.6421243362497798,0.13570284122843074,0.8434746337139579,1.313569017863629,1.0,0.03239434400981027,2.2863748684428615,0.284484772637072,0.20335893600170962,0.5626264031317615,0.5274044233405772
"hotel=City Hotel, market_segment=Direct",is_canceled=0,0.050935751495273004,0.6292310144368294,0.0420773599308777,0.8260869565217392,1.312851619784029,1.0,0.01002700534640482,2.1319216669882324,0.25108868939985673,0.06594273394157706,0.530939614018417,0.4464790201886126
market_segment=Direct,"customer_type=Transient, meal=BB",0.10554572221895998,0.5925055994094406,0.08209950590978869,0.7778572563980289,1.3128268444607631,1.0,0.019563074501341496,1.8343808759321714,0.26640257598067696,0.1332888447029022,0.4548569421321331,0.45821025692253925
"hotel=City Hotel, is_canceled=1",stay_bucket=2-3,0.2774874380290079,0.45882441761947507,0.16705114546720465,0.6020133619516913,1.312077864284393,1.0,0.03973313331682493,1.359783295827222,0.3291985807170064,0.2934527932096491,0.2645887009579336,0.48304924350326994
"distribution_channel=Direct, reserved_room_type=A",is_canceled=0,0.06965917002910854,0.6292310144368294,0.057478881628065,0.8251445086705202,1.3113538426090396,1.0,0.013647171405821452,2.1204308926422653,0.2552068079281815,0.08961314116816199,0.5283977405394704,0.4582461644805741
distribution_channel=Direct,is_canceled=0,0.12255786056421915,0.6292310144368294,0.1011249150651377,0.825119780971937,1.3113145443258718,1.0,0.024007708135106595,2.1201310681322583,0.2705665133270774,0.15541803648552827,0.5283310475323794,0.49291584302562985
reserved_room_type=E,"customer_type=Transient, deposit_type=No Deposit",0.054685468379065336,0.6421243362497798,0.04603679252405439,0.8418469090351282,1.3110341121032645,1.0,0.010921922438638737,2.262843309396398,0.25096762235312586,0.07074170512258629,0.5580781064921614,0.4567707117582136
"is_canceled=1, meal=SC",customer_type=Transient,0.03310152756922716,0.7505809125149947,0.03257304398157857,0.9840344652812975,1.3110304950122735,1.0,0.007727669213027796,15.622344749457573,0.2453631303804201,0.043366577692402195,0.9359891222452557,0.5137157886780219
"adr_bucket=A2, lead_time_bucket=1-30",is_canceled=0,0.05303290858911659,0.6292310144368294,0.043738308349201824,0.8247390066434673,1.3107094019858834,1.0,0.01036835747913635,2.1155248436194634,0.2503301119110837,0.06849890958774535,0.5273040621498473,0.44712486927294015
"distribution_channel=Direct, is_family_trip=0",is_canceled=0,0.1072066706372841,0.6292310144368294,0.08827353639406421,0.82339593114241,1.3085749307499743,1.0,0.02081577427457089,2.099436258527834,0.26412597152893036,0.13619009408932664,0.5236816569505094,0.4818419463737647
market_segment=Direct,"is_canceled=0, is_repeated_guest=0",0.10554572221895998,0.6023538491221301,0.08315647308508586,0.7878715625496742,1.3079879271924924,1.0,0.01958060104812019,1.8745537168772424,0.2632520804521049,0.1331050688150386,0.4665396936899375,0.4629620464894431
"adr_bucket=A4, is_canceled=1",hotel=City Hotel,0.07910476557978005,0.6640689880797591,0.06870286639431586,0.8685047720042417,1.307853231507821,1.0,0.01617184476346476,2.554701163232153,0.2556080230498834,0.10186187082571545,0.6085647846440005,0.48598109764771286
adr_bucket=A3,"hotel=City Hotel, is_family_trip=0",0.19782063434807776,0.6187452289676115,0.15997114311838873,0.8086676278517514,1.306947657925426,1.0,0.0375705694241692,1.9926307647353252,0.2927754402156267,0.2436375715453802,0.49815087787584833,0.5336044213011468
"is_family_trip=0, market_segment=Groups",reserved_room_type=A,0.16552441510288654,0.7203482958501456,0.15581038344420303,0.9413136022704236,1.3067478714022607,1.0,0.036575153103246605,4.7651877601769606,0.2813041387029157,0.2134206595426864,0.7901446804767953,0.5788061396856123
deposit_type=Non Refund,"customer_type=Transient, meal=BB",0.12236492211158553,0.5925055994094406,0.09470761435797632,0.7739768286830739,1.3062776612651568,1.0,0.02220571283556183,1.8028877226006943,0.2671565639169118,0.152714090546335,0.44533428928259383,0.4669096964799445
"market_segment=Corporate, reserved_room_type=A",is_canceled=0,0.040055700492412485,0.6292310144368294,0.03291697774496892,0.8217801047120419,1.3060069924359126,1.0,0.007712688690150404,2.080401769758096,0.24408428242235417,0.05172618341440267,0.5193236159781398,0.4370465648210256
market_segment=Groups,reserved_room_type=A,0.16601095554865825,0.7203482958501456,0.1561123740657165,0.9403739262253663,1.3054433968161878,1.0,0.036526665143786274,4.690090868750521,0.28055134128318293,0.21378026926434773,0.7867845148453577,0.578545915972754
"customer_type=Transient, distribution_channel=Direct",is_canceled=0,0.1033143470711104,0.6292310144368294,0.08483419876016073,0.8211269892822345,1.3049690343333675,1.0,0.019825607346727253,2.0728056405792143,0.26062454680472946,0.13097535389118414,0.5175621001684629,0.4779745065062019
"is_repeated_guest=0, market_segment=Groups",reserved_room_type=A,0.1637711917724333,0.7203482958501456,0.15391455343136845,0.9398145776776111,1.3046668994593154,1.0,0.035942254528748746,4.646502314993716,0.2792547080501185,0.21078268062081404,0.7847843534322327,0.5767407153340542
distribution_channel=Direct,"deposit_type=No Deposit, is_canceled=0",0.12255786056421915,0.6273939048226225,0.10030282948435101,0.8184120465434633,1.3044628585845852,1.0,0.023410774778259064,2.051931794399353,0.26600151785145076,0.15439543412013843,0.5126543666171309,0.48914211183853784
"is_canceled=1, lead_time_bucket=1-30",market_segment=Online TA,0.05663163016215219,0.4731857493981159,0.03492185992668339,0.6166493852762553,1.3031867211990698,1.0,0.00812457956876846,1.3742360918907723,0.24661655092206472,0.07056410604108754,0.2723229975541333,0.3452254868517144
deposit_type=Non Refund,"distribution_channel=TA/TO, meal=BB",0.12236492211158553,0.6179063661300741,0.09845733124176866,0.8046205525467882,1.3021722976995664,1.0,0.02284726687800928,1.9556490657054766,0.2644065575542979,0.15340478368840674,0.4886608146951651,0.48198038216533
