support,itemsets
0.43665327282336064,"frozenset({'reserved_room_type=A', 'is_canceled=0', 'deposit_type=No Deposit'})"
0.4346316133848954,"frozenset({'reserved_room_type=A', 'meal=BB', 'deposit_type=No Deposit'})"
0.43148587774413005,"frozenset({'reserved_room_type=A', 'distribution_channel=TA/TO', 'meal=BB'})"
0.4304037446837068,"frozenset({'is_family_trip=0', 'stay_bucket=2-3'})"
0.4297997634406798,"frozenset({'customer_type=Transient', 'market_segment=Online TA'})"
0.4292125594544036,"frozenset({'customer_type=Transient', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.42725800904294137,"frozenset({'customer_type=Transient', 'market_segment=Online TA', 'distribution_channel=TA/TO'})"
0.4258738853610046,"frozenset({'customer_type=Transient', 'is_repeated_guest=0', 'market_segment=Online TA'})"
0.4258403308475031,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'distribution_channel=TA/TO'})"
0.424179382429179,"frozenset({'hotel=City Hotel', 'meal=BB', 'deposit_type=No Deposit'})"
0.42151179860580995,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'distribution_channel=TA/TO'})"
0.4214698554639331,"frozenset({'is_repeated_guest=0', 'is_canceled=0', 'customer_type=Transient'})"
0.4192468689444589,"frozenset({'is_family_trip=0', 'is_repeated_guest=0', 'stay_bucket=2-3'})"
0.4191797599174559,"frozenset({'reserved_room_type=A', 'is_canceled=0', 'is_family_trip=0'})"
0.4172168208776183,"frozenset({'market_segment=Online TA', 'is_family_trip=0'})"
0.4170071051682339,"frozenset({'is_repeated_guest=0', 'reserved_room_type=A', 'is_canceled=0'})"
0.41685610985747723,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'deposit_type=No Deposit'})"
0.41663800551971747,"frozenset({'market_segment=Online TA', 'deposit_type=No Deposit', 'is_family_trip=0'})"
0.41462473470962763,"frozenset({'distribution_channel=TA/TO', 'market_segment=Online TA', 'is_family_trip=0'})"
0.41271212744004226,"frozenset({'is_repeated_guest=0', 'market_segment=Online TA', 'is_family_trip=0'})"
0.40463387831455677,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'deposit_type=No Deposit'})"
0.40239411453833185,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'deposit_type=No Deposit'})"
0.3996594216879598,"frozenset({'customer_type=Transient', 'is_canceled=0', 'is_family_trip=0'})"
0.39674017901332953,"frozenset({'distribution_channel=TA/TO', 'stay_bucket=2-3'})"
0.39209287889337213,"frozenset({'is_repeated_guest=0', 'distribution_channel=TA/TO', 'stay_bucket=2-3'})"
0.3915140635354713,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'meal=BB'})"
0.39149728627872055,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'meal=BB'})"
0.38659832730750193,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'meal=BB'})"
0.3865815500507512,"frozenset({'hotel=City Hotel', 'is_canceled=0'})"
0.38632989119948996,"frozenset({'hotel=City Hotel', 'is_canceled=0', 'deposit_type=No Deposit'})"
0.37800837185111863,"frozenset({'customer_type=Transient', 'market_segment=Online TA', 'is_family_trip=0'})"
0.37367983960942547,"frozenset({'is_repeated_guest=0', 'hotel=City Hotel', 'is_canceled=0'})"
0.373579176068921,"frozenset({'is_family_trip=0', 'distribution_channel=TA/TO', 'stay_bucket=2-3'})"
0.3718511186235939,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'hotel=City Hotel'})"
0.37076898556317056,frozenset({'is_canceled=1'})
0.36649917372010504,"frozenset({'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.3661552399567147,"frozenset({'is_canceled=1', 'is_repeated_guest=0'})"
0.36071102014109674,"frozenset({'reserved_room_type=A', 'stay_bucket=2-3'})"
0.3589158536687666,"frozenset({'hotel=City Hotel', 'stay_bucket=2-3'})"
0.35691097148705214,"frozenset({'is_canceled=0', 'distribution_channel=TA/TO', 'meal=BB'})"
0.35687741697355063,"frozenset({'hotel=City Hotel', 'is_canceled=0', 'is_family_trip=0'})"
0.3556191227172445,"frozenset({'is_repeated_guest=0', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.35426855354880926,"frozenset({'market_segment=Online TA', 'meal=BB'})"
0.3538910652719174,"frozenset({'meal=BB', 'stay_bucket=2-3'})"
0.35369812681928375,"frozenset({'meal=BB', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.35225528273871937,"frozenset({'distribution_channel=TA/TO', 'market_segment=Online TA', 'meal=BB'})"
0.3518526285767014,"frozenset({'customer_type=Transient', 'is_canceled=0', 'meal=BB'})"
0.35178551954969844,"frozenset({'hotel=City Hotel', 'is_repeated_guest=0', 'stay_bucket=2-3'})"
0.3509131021986595,"frozenset({'reserved_room_type=A', 'is_repeated_guest=0', 'stay_bucket=2-3'})"
0.3504181731245124,"frozenset({'is_repeated_guest=0', 'market_segment=Online TA', 'meal=BB'})"
0.3497722487396086,"frozenset({'reserved_room_type=A', 'is_family_trip=0', 'stay_bucket=2-3'})"
0.3434304456878256,"frozenset({'is_canceled=1', 'is_family_trip=0'})"
0.34321234135006584,"frozenset({'is_repeated_guest=0', 'meal=BB', 'stay_bucket=2-3'})"
0.34108162974272077,"frozenset({'reserved_room_type=A', 'is_canceled=0', 'distribution_channel=TA/TO'})"
0.3390767475610063,"frozenset({'hotel=City Hotel', 'is_family_trip=0', 'stay_bucket=2-3'})"
0.33885025459487117,"frozenset({'is_canceled=1', 'is_repeated_guest=0', 'is_family_trip=0'})"
0.33808688941271214,"frozenset({'is_family_trip=0', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.3366859884740246,"frozenset({'is_canceled=1', 'distribution_channel=TA/TO'})"
0.33593101192024094,frozenset({'hotel=Resort Hotel'})
0.3336157504886376,"frozenset({'is_canceled=1', 'is_repeated_guest=0', 'distribution_channel=TA/TO'})"
0.3312333800300313,"frozenset({'customer_type=Transient', 'is_canceled=0', 'distribution_channel=TA/TO'})"
0.32912783430781234,"frozenset({'is_family_trip=0', 'meal=BB', 'stay_bucket=2-3'})"
0.3244637569311042,"frozenset({'hotel=City Hotel', 'market_segment=Online TA'})"
0.3244050365324766,"frozenset({'hotel=City Hotel', 'distribution_channel=TA/TO', 'stay_bucket=2-3'})"
0.3241701549379661,"frozenset({'reserved_room_type=A', 'is_canceled=0', 'meal=BB'})"
0.32414498905283995,"frozenset({'hotel=City Hotel', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.3231467422761704,"frozenset({'customer_type=Transient', 'stay_bucket=2-3'})"
0.3227524767425278,"frozenset({'hotel=City Hotel', 'is_repeated_guest=0', 'market_segment=Online TA'})"
0.322509206519642,"frozenset({'distribution_channel=TA/TO', 'hotel=City Hotel', 'market_segment=Online TA'})"
0.3210244192972007,"frozenset({'hotel=Resort Hotel', 'is_repeated_guest=0'})"
0.3203197745136693,"frozenset({'hotel=Resort Hotel', 'deposit_type=No Deposit'})"
0.31792062679831223,"frozenset({'customer_type=Transient', 'market_segment=Online TA', 'meal=BB'})"
0.3176857452038017,"frozenset({'reserved_room_type=A', 'distribution_channel=TA/TO', 'stay_bucket=2-3'})"
0.3171069298459009,"frozenset({'hotel=City Hotel', 'is_canceled=0', 'distribution_channel=TA/TO'})"
0.3157311947923395,frozenset({'stay_bucket=4-7'})
0.31509365903581105,"frozenset({'customer_type=Transient', 'is_repeated_guest=0', 'stay_bucket=2-3'})"
0.31348304238773916,"frozenset({'is_repeated_guest=0', 'stay_bucket=4-7'})"
0.31188920299641804,"frozenset({'is_canceled=1', 'distribution_channel=TA/TO', 'is_family_trip=0'})"
0.3082065951396287,"frozenset({'distribution_channel=TA/TO', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.30709929619407933,"frozenset({'market_segment=Online TA', 'meal=BB', 'is_family_trip=0'})"
0.30613460393091124,"frozenset({'customer_type=Transient', 'is_canceled=1'})"
0.3054635136608813,"frozenset({'hotel=Resort Hotel', 'is_repeated_guest=0', 'deposit_type=No Deposit'})"
0.3037690107290557,"frozenset({'customer_type=Transient', 'is_canceled=1', 'is_repeated_guest=0'})"
0.3029720910333951,"frozenset({'hotel=Resort Hotel', 'is_family_trip=0'})"
0.2992475400347289,"frozenset({'is_canceled=0', 'market_segment=Online TA'})"
0.2992223741496028,"frozenset({'is_canceled=0', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.29843384308231763,"frozenset({'distribution_channel=TA/TO', 'meal=BB', 'stay_bucket=2-3'})"
0.29838351131206536,"frozenset({'hotel=City Hotel', 'is_canceled=0', 'meal=BB'})"
0.2975865916164048,"frozenset({'customer_type=Transient', 'is_family_trip=0', 'stay_bucket=2-3'})"
0.2969993876301286,"frozenset({'distribution_channel=TA/TO', 'is_canceled=0', 'market_segment=Online TA'})"
0.2966386766099875,"frozenset({'stay_bucket=4-7', 'deposit_type=No Deposit'})"
0.29580820240082545,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'stay_bucket=2-3'})"
0.2956236525765672,"frozenset({'reserved_room_type=A', 'hotel=City Hotel', 'is_canceled=0'})"
0.294902230536285,"frozenset({'is_repeated_guest=0', 'is_canceled=0', 'market_segment=Online TA'})"
0.29439891283376257,"frozenset({'is_repeated_guest=0', 'stay_bucket=4-7', 'deposit_type=No Deposit'})"
0.29394592690149235,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'market_segment=Online TA'})"
0.29387042924611395,"frozenset({'reserved_room_type=A', 'market_segment=Online TA'})"
0.2934593864557206,"frozenset({'reserved_room_type=A', 'market_segment=Online TA', 'deposit_type=No Deposit'})"
0.2917229403820181,"frozenset({'distribution_channel=TA/TO', 'reserved_room_type=A', 'market_segment=Online TA'})"
0.29044786886896123,"frozenset({'reserved_room_type=A', 'is_repeated_guest=0', 'market_segment=Online TA'})"
0.2897012809435529,"frozenset({'hotel=City Hotel', 'market_segment=Online TA', 'is_family_trip=0'})"
0.28945801072066707,"frozenset({'is_canceled=1', 'meal=BB'})"
0.2885017070858744,"frozenset({'hotel=Resort Hotel', 'is_repeated_guest=0', 'is_family_trip=0'})"
0.2874195740254511,"frozenset({'hotel=Resort Hotel', 'deposit_type=No Deposit', 'is_family_trip=0'})"
0.2867400951270458,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'is_canceled=0'})"
0.2851798102492262,"frozenset({'is_canceled=1', 'is_repeated_guest=0', 'meal=BB'})"
0.28269677625011536,"frozenset({'stay_bucket=4-7', 'is_family_trip=0'})"
0.28206762912196226,"frozenset({'reserved_room_type=A', 'is_canceled=1'})"
0.2814720365073107,"frozenset({'hotel=City Hotel', 'meal=BB', 'stay_bucket=2-3'})"
0.28050734424414264,"frozenset({'is_repeated_guest=0', 'stay_bucket=4-7', 'is_family_trip=0'})"
0.2799620833997433,"frozenset({'customer_type=Transient', 'is_canceled=1', 'is_family_trip=0'})"
0.27969364729173135,"frozenset({'customer_type=Transient', 'is_canceled=1', 'distribution_channel=TA/TO'})"
0.2779404239612781,"frozenset({'reserved_room_type=A', 'is_canceled=1', 'is_repeated_guest=0'})"
0.2774874380290079,"frozenset({'hotel=City Hotel', 'is_canceled=1'})"
0.27653113439421523,"frozenset({'customer_type=Transient', 'distribution_channel=TA/TO', 'stay_bucket=2-3'})"
0.27471080203675896,"frozenset({'meal=BB', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.27438364553011935,"frozenset({'hotel=City Hotel', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.2738048301722185,"frozenset({'hotel=City Hotel', 'is_repeated_guest=0', 'is_canceled=1'})"
0.2736202803479603,"frozenset({'reserved_room_type=A', 'market_segment=Online TA', 'is_family_trip=0'})"
0.27314212853056397,"frozenset({'reserved_room_type=A', 'is_canceled=1', 'is_family_trip=0'})"
0.27184189113238094,"frozenset({'stay_bucket=4-7', 'distribution_channel=TA/TO'})"
0.27108691457859724,frozenset({'lead_time_bucket=1-30'})
0.2709107533827144,"frozenset({'is_repeated_guest=0', 'stay_bucket=4-7', 'distribution_channel=TA/TO'})"
0.2700551132884262,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'is_canceled=0'})"
0.2699880042614232,"frozenset({'reserved_room_type=A', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.26692615490441157,"frozenset({'is_canceled=0', 'market_segment=Online TA', 'is_family_trip=0'})"
0.26667449605315036,"frozenset({'is_canceled=1', 'meal=BB', 'is_family_trip=0'})"
0.2658440218439883,"frozenset({'deposit_type=No Deposit', 'lead_time_bucket=1-30'})"
0.26569302653323157,"frozenset({'reserved_room_type=A', 'meal=BB', 'stay_bucket=2-3'})"
0.2647115570133127,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'market_segment=Online TA'})"
0.2636545898380156,"frozenset({'stay_bucket=4-7', 'deposit_type=No Deposit', 'is_family_trip=0'})"
0.2628660587707304,"frozenset({'customer_type=Transient', 'is_canceled=0', 'market_segment=Online TA'})"
0.26186781199406084,"frozenset({'hotel=City Hotel', 'is_canceled=1', 'is_family_trip=0'})"
0.261624541771175,"frozenset({'is_canceled=0', 'stay_bucket=2-3'})"
0.2609953946430219,"frozenset({'is_canceled=1', 'distribution_channel=TA/TO', 'meal=BB'})"
0.26079406756201295,"frozenset({'is_canceled=0', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.26029074985949047,"frozenset({'hotel=City Hotel', 'distribution_channel=TA/TO', 'is_canceled=1'})"
0.2596280482178359,"frozenset({'customer_type=Transient', 'meal=BB', 'stay_bucket=2-3'})"
0.25940994388007615,"frozenset({'reserved_room_type=A', 'is_canceled=1', 'distribution_channel=TA/TO'})"
0.2549220276992509,"frozenset({'stay_bucket=4-7', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.25385667189557837,"frozenset({'is_repeated_guest=0', 'lead_time_bucket=1-30'})"
0.25337013144980663,"frozenset({'hotel=Resort Hotel', 'customer_type=Transient'})"
0.2533449655646805,"frozenset({'is_repeated_guest=0', 'is_canceled=0', 'stay_bucket=2-3'})"
0.25167562851798103,"frozenset({'hotel=Resort Hotel', 'meal=BB'})"
0.25002306872803226,"frozenset({'customer_type=Transient', 'hotel=City Hotel', 'stay_bucket=2-3'})"
0.24915065137699335,"frozenset({'is_repeated_guest=0', 'deposit_type=No Deposit', 'lead_time_bucket=1-30'})"
0.24888221526898138,"frozenset({'is_canceled=1', 'deposit_type=No Deposit'})"
0.2486473336744709,"frozenset({'customer_type=Transient', 'stay_bucket=4-7'})"
0.2484124520799604,"frozenset({'lead_time_bucket=1-30', 'is_family_trip=0'})"
0.24770780729642897,frozenset({'lead_time_bucket=31-90'})
0.2469108876007684,"frozenset({'is_repeated_guest=0', 'stay_bucket=4-7', 'customer_type=Transient'})"
0.24584553179709587,"frozenset({'is_repeated_guest=0', 'lead_time_bucket=31-90'})"
0.24500666895955842,"frozenset({'stay_bucket=4-7', 'distribution_channel=TA/TO', 'is_family_trip=0'})"
0.24477178736504795,"frozenset({'is_canceled=1', 'is_repeated_guest=0', 'deposit_type=No Deposit'})"
0.2442936355476516,"frozenset({'customer_type=Transient', 'deposit_type=No Deposit', 'stay_bucket=2-3'})"
0.24394970178426126,"frozenset({'hotel=Resort Hotel', 'meal=BB', 'deposit_type=No Deposit'})"
0.24318633660210218,"frozenset({'deposit_type=No Deposit', 'lead_time_bucket=1-30', 'is_family_trip=0'})"
0.24264946438607823,"frozenset({'hotel=Resort Hotel', 'is_canceled=0'})"
0.24259074398745062,"frozenset({'hotel=Resort Hotel', 'distribution_channel=TA/TO'})"
0.24242297141994312,"frozenset({'is_family_trip=0', 'is_canceled=0', 'stay_bucket=2-3'})"
0.241164677163637,"frozenset({'hotel=Resort Hotel', 'is_repeated_guest=0', 'customer_type=Transient'})"
0.24106401362313248,"frozenset({'hotel=Resort Hotel', 'is_canceled=0', 'deposit_type=No Deposit'})"
0.2408039661434959,"frozenset({'stay_bucket=4-7', 'meal=BB'})"
0.24065297083273915,"frozenset({'customer_type=Transient', 'is_canceled=1', 'meal=BB'})"
0.23973022171144795,"frozenset({'hotel=Resort Hotel', 'customer_type=Transient', 'deposit_type=No Deposit'})"
0.2390004110427904,"frozenset({'is_repeated_guest=0', 'stay_bucket=4-7', 'meal=BB'})"
0.23830415488763432,"frozenset({'hotel=Resort Hotel', 'is_repeated_guest=0', 'meal=BB'})"
0.23784278032698875,"frozenset({'customer_type=Transient', 'reserved_room_type=A', 'stay_bucket=2-3'})"
0.2372304104555864,"frozenset({'hotel=Resort Hotel', 'is_repeated_guest=0', 'distribution_channel=TA/TO'})"
0.23208818126148192,"frozenset({'hotel=Resort Hotel', 'distribution_channel=TA/TO', 'deposit_type=No Deposit'})"
0.2316100294440856,"frozenset({'is_repeated_guest=0', 'lead_time_bucket=1-30', 'is_family_trip=0'})"
0.23048595324178545,"frozenset({'customer_type=Transient', 'stay_bucket=4-7', 'deposit_type=No Deposit'})"
0.23047756461341007,"frozenset({'hotel=City Hotel', 'market_segment=Online TA', 'meal=BB'})"
